Question	Answer	Annotation (Label)
It's hard to breathe, isn't it?	- Maybe I'll wash my hair.	6
There are people in my house. Can you believe it? People! Frankie's friends thought it was okay to just drop by.	- Wait, Frankie is still there?	5
- Wait, Frankie is still there?	- I know. Right?	1
- I know. Right?	- Frankie?	6
Now, do you want to vent, you want to scrapbook, you wanna get revenge?	Who told you about Sol?	6
Have you gotten a lawyer yet? Because I know every lawyer in the state.	And she should. She's used most of them.	5
Did everyone know? Was I the only one who didn't?	I was shocked. I swear.	1
- You cut off their credit cards?	- I know. Terrible.	1
Did you hear that? My house. And you know what else? I'm going to hang up on you. God, that felt good.	Frankie? Frankie? You okay? What happened?	5
And do you see a connection as to why she might not reach out to you?	...ish.	3
- Will you look at me, please?	- Excuse me, I'm reading.	2
You're not reading. Popular Woodworking?	I have surprises too, Sol.	1
You're a secret woodworker?	What I hate is that barely a week after you've wrecked my life, you've already moved on to the legal...and to lawyers and... and stopping credit cards...	5
Coyote's out of rehab?	You didn't know?	1
- He's... he's living there?	- Yeah.	1
Seriously? You're really gonna do this right now? You're really gonna make this about you when this is the first time that the four of them have been together since... you know...	Gay-maggedon?	5
Gay-maggedon?	- Arma-gayden? Is that better?	4
- Arma-gayden? Is that better?	- That is better.	1
Was that not implied when I told you I wanted you to pick up the kids?	You said you were going to Frankie's and that I should...Right. Right, that was implied.	1
Okay, anybody up for a drink? Other than the alcoholic?	I am. 	1
Was any of it real?	You're going to make new memories, Frankie.	4
Are these from my baptism?	And mine, too.	1
And did you talk to Rafael?	Lina confirmed, did you get that, Abuela?	5
Lina confirmed, did you get that, Abuela?	- Mm-hmm.	1
- Jane, did you talk to him?	Why? He's the one that asked Michael.	2
- Is this a bad time?	- Shush me, - you dragged me here.	6
This is awkward, okay?	I was playing you.	5
Are any babies blinking back?	Tanner is. 	1
We are on it, right?	♪ Good-bye, Tanner ♪ ♪ Good-bye, Lily ♪ ♪ Good-bye, Mateo... ♪	6
Wait, are you here to see me or Jane?	- Uh, both.	5
Have you even considered a spray tan?	And now we're walking to the front door. And we're seeing...Michael?	6
I'll see you at the baptism rehearsal later?	- Yeah.	1
Hey, are you okay?	How do you find the words to say that your psychotic ex-wife inseminated herself with your stolen sperm?	2
Hey, so is your sister coming to the baptism or... ? She didn't RSVP.	Uh, nope, I have not heard from her.	2
Any of this ring a bell?	I'm sorry, to be honest, I wasn't listening to that call.	4
Remember how we set her up to maker her think I still had feelings for her?	And I think that she'd do anything, even turn in her own mother, if she thought she had a chance with you.	1
You okay?	Yeah. 	1
- Hon, do you remember what you said when you were pregnant?	We need some kind of signal. A way for you to let me know that I'm about to let motherhood hijack my goals.	6
