Question	Answer	Annotation (Label)
The coast?	Audrey's been telling me about it from her magazines - haven't you, Audrey?	5
Audrey's been telling me about it from her magazines - haven't you, Audrey?	Some Hollywood film star was supposed to have bought it, but no, it's Mr and Mrs Owen.	1
An island? By the sea?	Islands are generally by the sea.	1
And...and this is for a play? In the West End? And will I be credited in the programme?	Ladies and gentlemen!	6
Are you Mr Narracott?	Ain't no-one else holding the sign. 	1
- Justice Wargrave? The honour's all mine, sir.	Retired from justice now. 	1
Are you coming, or not?	Well...shall we?	1
Well...shall we? 	This way, just up here...	1
Sorry, is there a problem?	Well, that's as far as my fee will take me, sir.	1
Did Mrs Owen leave any instructions for me? - I'm the secretary.	- Only to ensure that you were comfortable and had everything you wished for, Miss Claythorne.	4
- Can I help you? Here.	- Oh, too kind.	1
Well, I can't dress her, can I?	Go on.	1
Shock, maybe? Sudden change?	Begging your pardon, madam, I don't know.	4
Are we on time?	Only just.	1
May I show you to the drawing room, sir? Perhaps an aperitif, whilst you await the other guests?	Ah... Mr Davis. You look like a man who could use a drink.	6
Is there something you're looking for, Miss? Because this is the belowstairs, Miss. For staff.	Well, I am staff.	4
We've got off on the wrong foot, haven't we? But you do have very pretty legs. - It would have been remiss not to admire them.	- Mr Lombard... ..you seem to be under the impression that I am a particular kind of woman.	2
A drink, Mr Marston?	Pink gin. Pink as a virgin's blush.	1
Are you a betting man, Lombard?	It depends.	3
So, how about it? A bet?	The odds are too short.	2
We've met before, you know?	Oh, forgive me, my memory is not what it was.	4
Friends of yours, Mr Davis?	Business acquaintances.	2
RAMC, I presume, Dr Armstrong?	That's right.	1
Have they not telephoned?	There's no telephone on the island, Madam.	2
The Owens...Are they fun-loving types?	"Fun-loving"?	5
"Fun-loving"?	Yeah, cos there's something a tad off here.	5
Your car, the Jensen?	Oh, you saw her? Isn't she a beauty?	1
Oh, you saw her? Isn't she a beauty? I honestly can't imagine loving a person as much as I worship and adore the Jensen.	You ran me off the road.	1
You ran me off the road and then you have the temerity to tell me it's my fault?	Careful, old boy. Getting a little red in the face there.	4
Good work, eh?	Rogers, I'm out of cigarettes.	6
Win any?	I loathe this convention - leaving men to their cigars and their "stories".	6
Is it time?	You start serving.	1
Oh... Mrs Rogers? 	- She just took a turn.	6
- A record?	- It's called Swan Song.	1
Miss Claythorne?	Here.	1
Nothing in it, then?	Miss Brady were like family to us.	6
21 men?	I always thought someone would blab.	5
We shouldn't these dignify these accusations with any more debate. - Agreed?	- Certainly.	1
Oh, you were driving, were you? What a surprise(!)	It was jolly bad luck, that's all.	1
- All right? - He's choking!	He's bleeding!	2
Can you come, please? 	She's been dead for some hours.	5
Has Mrs Rogers got worse?	Somewhat. 	1
- Dead?	- Died in her sleep.	1
There are eight, aren't there? Eight figures for the eight people here. Tell me I'm right. Please tell me I'm right!	I'm sure there is a perfectly rational explanation for this.	4
Have you been for a paddle, General?	What are you, Lombard? A mercenary? Gun for hire? A soldier?	6
What are you, Lombard? A mercenary? Gun for hire? A soldier? Not from any army I'd recognise, but still, a soldier of sorts.	You don't need to worry about what I am.	4
There's always a moment, isn't there? Before the attack, the advance, the bombardment, the chaos...A moment of absolute calm.	Listen...	5
Doesn't this feel like that moment?	I was never a man for calm, General.	2
Rupert?	I'm sorry, Agent Flemming can't come to the phone right now.	5
But an Interpol agent-- that's kind of risky, isn't it?	Rupert must've stumbled upon something	1
You actually spoke to Python? You heard the bastard's voice on the phone?	Yeah.	1
So if he's done this before, you must have those other guns?	Yep, six.	1
Can we make that happen?	Rupert Flemming was meeting with someone, so I had Interpol send an image of his laptop.	6
Is it possible he hacked Interpol?	That's what I was thinking.	1
I don't know, some story about terrifying bacteria he found?	But he'd also tell us that if we can't find a lead in the evidence, we have to look for what's missing.	6
Did he show up to the meeting?	"Can't meet today. Too risky. Sorry."	2
He has Python's real name?	Anonymity is everything in the Deep Web. This Darko holds the key to I.D-ing and caging this snake.	4
Are you asking me not to follow orders, Avery?	I am asking you to wait before you do.	4
Hey, isn't that one of your confidential informants?	Fresh!	1
Is your family from Toulouse?	Yeah.	1
I think that's, like, against the law or something, right?	Sorry, Bernie.	1
I'm sorry...are we chasing a ghost?	More like a virtual identity created by a hacker.	2
Do you remember Paris?	Oh...	4
Teddy? Stay with me.	Avery, there's no shooter.	6
Python's certainly living up to his reputation, isn't he?	Pablo Escobar of the Deep Web.	1
Did we have any luck tracking the source of the weapon's remote commands?	It received commands through the Deep Web.	4
An early beta version with no login credentials? It's hardly worth anything.	All right.	1
Text file? Put that up on the screen.	What is that?	5
Did he ever mention the first time he was given the name Python?	He did.	1
Rav--?	I am already on it, D.B.	1
Do you have a photo of Dante?	I used to have a shoe box full of them. But I don't know, I just--It just got too painful. So I... got rid of them a long time ago.	2
Is that my Dante?	You need to step aside--	6
Did you hear that? Can you imagine the amount of pain you've caused this poor woman?	My mom's house. You're in my house.	5
Socially engineering and spying on your own mother? It doesn't get lower than that.	Now, now, Avery Ryan. You have no idea who you're dealing with.	5
My bedroom? You're grasping at straws, Deputy Director Ryan. You have nothing!	A scantily clad model on your wall? That's as close as you ever got to a real girl.	5
You have three sets of sheets folded in your closet, at the ready. Is that because you were still wetting the bed when you were a teenager?	Just shut your mouth!	4
Wait, you-you think Squamata is being hosted here?	Python just let something slip. It is here.	1
So, is that it?	There's only one way to find out.	1
Hey, you be careful with that, okay? It's only the most important piece of hardware I've ever put my hands on.	I understand.	1
Any idea on how Python got that blade into his old bedroom?	Yeah, he RAT-ed his own mom's computer.	1
Are you kidding me?	He would already be slurring his way through some drinking song he just made up.	5
Ah, so that's why you didn't bust me, huh?	I tapped into his accounts. Sutton owes a lot of money.	5
That sounds nice, all right? I appreciate the offer, really, but listen, I don't want to impose.	Listen, for saving your ass, I think I deserve one person at my engagement party who I actually want to talk to.	6
Did you know a Presidential Commission was looking into the attacks?	It's time for us to move.	4
This vigilante believes I deserve to die?	A transport team is en route. I'll call you when they arrive.	5
Did Ressler agree to help?	My people will take you to the jet. From there, you'll fly to Quito.	5
So this all just cover your ass?	I doubt Hitchin agrees with you.	6
Can I give you a bit of advice?	Please.	1
Do you have evidence that the Cabal exists?	Names of Cabal members have been published--	1
Do you believe she's innocent?	My job isn't to determine her guilt or innocence.	4
deadnotalive.org? That's what it's actually called?	Someone with the screen name "Arioch Cain" put a price on her head.	4
Can you take down the site?	It is decentralized, cached on servers all over the world. I take one down, two pop up.	2
Melts in your mouth, does he?	Or my hand. I'm good either way.	1
Tell me, Mr. Buckley, do you believe in love at first sight?	I don't know. I think love is, uh, more of an acquired taste.	4
Have you ever acquired it-- love?	Yeah. Once.	1
Maybe it will be. Who knows, right?	I've loved Asher Sutton since the moment I laid eyes on him. I love everything about him, including his peculiar affinity for collectibles, even at my engagement party.	5
Maybe I wasn't clear how this works, huh?	I told you I'll have it to you by Friday.	5
- You sure?	- Yeah, it's okay.	1
He said it's okay, huh?	I heard him.	1
We're not through here, huh?	Looks like I made a new friend.	6
