Question	Answer	Annotation (Label)
¿La costa?	Audrey me ha estado hablando de ella por las revistas, ¿a que sí, Audrey?	5
Audrey me ha estado hablando de ella por las revistas, ¿a que sí, Audrey?	Se suponía que una estrella de Hollywood iba a comprarla, pero no, el señor y la señora Owen.	1
¿Una isla? ¿En el mar?	Las islas generalmente están en el mar.	1
¿Y... y esto es para una obra de teatro? ¿En el West End? ¿Y apareceré en el programa?	¡Damas y caballeros!	6
¿Es usted el señor Narracott?	Na hay nadie más con un cartel. 	1
- ¿Juez Wargrave? El honor es mío, señor.	Retirado de la justicia ahora.	1
¿Van a venir o no?	Bien... ¿Vamos?	1
Bien... ¿Vamos?	Por aquí, ahí arriba...	1
Lo siento, ¿hay algún problema?	Bueno, esto es lo más lejos que llega mi tarifa, señor.	1
¿Ha dejado la señora Owen instrucciones para mí? - Soy su secretaria.	- Solo asegurarse de que está cómoda y tiene todo lo que desea, señorita Calythorne.	4
- ¿Puedo ayudarle? Aquí.	- Muy amable.	1
Bueno, yo no puedo vestirla, ¿no?	Sigue.	1
Oh... ¿Un shock, tal vez? ¿Un cambio repentino?	Lo siento, señora. No lo sé.	4
¿Vamos bien de tiempo?	Justos.	1
¿Puedo enseñarle el salón, señor? ¿Tal vez un aperitivo mientras espera a los otros invitados?	Señor Davis. Parece el tipo de hombre que sabe apreciar una copa.	6
¿Está buscando algo, señorita? Porque esto es el sótano, señorita. Para el servicio.	Bueno, yo soy del servicio.	4
Hemos empezado con mal pie, ¿no es así? Pero tiene unas piernas muy bonitas. - Habría sido una negligencia no admirarlas. 	- Señor Lombard... parece tener la impresión de que pertenezco a un tipo concreto de mujer.	2
¿Una copa, señor Marston? 	Ginebra rosa. Rosa como el rubor de una virgen.	1
¿Le gusta apostar, Lombard? 	Depende.	3
Entonces, ¿qué? ¿apostamos?	Las probabilidades son muy bajas.	2
Nos conocemos de antes, ¿lo sabía? 	Perdóneme, mi memoria no es lo que era	4
¿Amigos suyos, señor Davis?	Conocidos de los negocios.	2
¿El Cuerpo Médico, supongo, doctor Armstrong?	Eso es.	1
¿No han llamado?	No hay ningún teléfono en la isla, señora.	2
Los Owens...¿Son amigos de las diversiones?	¿Amigos de las diversiones?	5
¿Amigos de las diversiones?	Sí, porque esto está un poco apagado.	5
Su coche, ¿el Jensen?	¿Lo ha visto? ¿No es una belleza?	1
