Question	Answer	Annotation (Label)
Es difícil respirar, ¿no?	-Quizá me lave el pelo.	6
Hay gente en mi casa. ¿Puedes creerlo? ¡Gente! Los amigos de Frankie pensaron que estaba bien simplemente pasar a saludar.	-Espera, ¿Frankie sigue ahí?	5
-Espera, ¿Frankie sigue ahí?	-¿Puedes creerlo?	1
-¿Puedes creerlo?	-¿Frankie?	6
¿Quieres desahogarte, hacer manualidades, vengarte?	¿Quién les contó acerca de Sol?	6
¿Ya conseguiste abogado? Porque conozco a cada abogado en el estado.	Y debería. Ha usado a la mayoría de ellos.	5
¿Lo sabían todos? ¿Fui yo la única que no?	Juro que fue una sorpresa para mí.	1
-¿Cancelaron sus tarjetas de crédito?	-Lo sé. Es terrible.	1
¿Lo oíste? Mi casa. ¿Y sabes qué más? Voy a colgarte. Cielos, eso se sintió bien.	¿Frankie? ¿Estás bien? ¿Qué sucedió?	5
¿Y aún no entiendes por qué no se comunica contigo?	Más o menos.	3
-¿Puedes mirarme, por favor?	-Disculpa, estoy leyendo.	2
No estás leyendo...Carpintería Popular.	Yo también tengo sorpresas, Sol.	1
¿Eres una carpintera secreta?	Lo que detesto es que apenas una semana después de que arruinaste mi vida, ya empezaste con todo lo legal...y abogados, y... y cancelando tarjetas de crédito.	5
¿Coyote ya salió de rehabilitación?	¿No lo sabías?	1
-¿Está... viviendo ahí?	-Sí.	1
¿En serio vas a hacer esto ahora? ¿En serio vas a hacer que esto sea sobre ti, cuando es la primera vez que ellos cuatro están juntos desde...? Ya sabes.	¿El "Gay-magedón"?	5
¿El "Gay-magedón"?	-¿"Arma-gay-dón"? ¿Suena mejor?	4
-¿"Arma-gay-dón"? ¿Suena mejor?	-Eso está mejor.	1
¿Eso no estaba entendido cuando dije que recogieras a los niños?	Dijiste que ibas a casa de Frankie y que debería...Cierto, eso estaba entendido.	1
Bueno, ¿a quién se le antoja un trago? ¿A excepción del alcohólico?	A mí. 	1
¿Alguna vez fue real?	Harás recuerdos nuevos, Frankie.	4
¿Esto es de mi bautismo?	Y del mío también.	1
Genial. ¿Y hablaste con Rafael?	Lina confirmó, ¿has apuntado eso, abuela?	5
Lina confirmó, ¿has apuntado eso, abuela?	- Sí.	1
- Jane, ¿has hablado con él?	¿Por qué? Él es quien se lo pidió a Michael.	2
- ¿Es un mal momento?	- No me calles, - tú me arrastraste aquí.	6
Esto es incómodo, ¿de acuerdo?	Estaba jugando contigo.	5
¿Hay algún bebé que ya parpadee?	Tanner. ¡Sí! 	1
Estamos en ello, ¿verdad?	*Adiós, Tanner* *Adiós, Lily* *Adiós, Mateo*	6
