Question	Answer	Annotation (Label)
La côte ?	Audrey l'a lu dans ces magazines, n'est-ce pas, Audrey ?	5
Audrey l'a lu dans ces magazines, n'est-ce pas, Audrey ?	Une star d'Hollywood était censé l'avoir acheté, mais non, M. et Mme Owen l'ont fait.	1
Une île ? Près de la mer ?	Les îles sont généralement près de la mer.	1
Et c'est pour une pièce ? Pour les grands théâtres ? Et serais-je crédité dans le programme ?	Mesdames et messieurs !	6
Êtes-vous M. Narracott ?	Personne d'autre ne tient l'écriteau.	1
- Le juge Wargrave ? L'honneur est pour moi.	À la retraite maintenant.	1
Vous venez ou pas ?	Allons-y.	1
Allons-y.	Par ici, juste là-haut.	1
Pardon, il y a un problème ?	Mes honoraires ne m'emmèneront que jusque là, monsieur.	1
Mme Owen a laissé des instructions pour moi ? - Je suis la secrétaire.	- Seulement de veiller à votre confort et que vous ayez tout ce que vous souhaitiez, Mlle Claythorne.	4
- Puis-je vous aider ? Voilà.	- Trop aimable.	1
Je ne peux pas l'habiller, non ?	Allez.	1
Un choc, peut-être ? Un changement soudain ?	Excusez-moi, madame, je l'ignore.	4
Sommes-nous dans les temps ?	Tout juste.	1
Puis-je vous emmener au salon ? Peut-être vous servir un apéritif, pendant que vous attendez les autres.	M. Davis. Vous avez l'air d'un homme qui a besoin d'un verre.	6
Mademoiselle ? Vous cherchez quelque chose ? Parce que ce sont les dépendances. Pour le personnel.	Eh bien, je suis du personnel.	4
Nous avons démarré sur le mauvais pied, n'est-ce pas ? Bien que vous ayez de belles jambes. Il aurait été idiot de ne pas les remarquer.	Vous semblez croire que je suis un type particulier de femme.	2
Un verre, M. Marston ?	Un gin rose. Rose comme le rougissement d'une vierge.	1
Êtes-vous un parieur, Lombard ?	Cela dépend.	3
Qu'en dites-vous ? Un pari ?	Les chances sont trop certaines.	2
Nous nous sommes rencontrés avant, vous savez ?	Pardonnez-moi, ma mémoire n'est plus ce qu'elle était.	4
Des amis à vous, M. Davis ?	Des relations d'affaires.	2
Le corps médical de l'armée royale, je présume, Dr Armstrong ?	C'est exact.	1
N'ont-ils pas téléphoné ?	Il n'y a pas de téléphone sur l'île.	2
Les Owen...Ils sont du genre festifs ?	"Festifs" ?	5
"Festifs" ?	Oui, parce que c'est un tantinet calme ici.	5
Votre voiture, la Jensen ?	Vous l'avez vue ? N'est-elle pas magnifique ?	1
Vous l'avez vue ? N'est-elle pas magnifique ? Je ne peux imaginer aimer quelqu'un autant que je vénère et adore les Jensen.	Vous m'avez fait sortir de la route.	1
Vous m'avez fait sortir de la route et vous avez le culot de dire que j'ai causé ça ?	Attention, mon vieux. Vous devenez tout rouge là.	4
Beau travail.	Rogers, je n'ai plus de cigarettes.	6
En avez-vous gagné ?	Je hais ces usages ; laisser les hommes à leur cigares et leurs "histoires".	6
Est-ce le moment ?	Commencez à servir.	1
- Un disque ?	- Cela se nomme un chant du cygne.	1
Rien n'est vrai, alors ?	Mlle Brady était comme de la famille pour nous.	6
21 hommes ?	J'ai toujours pensé que quelqu'un jaserait.	5
Nous ne devrions pas nous abaisser à encore débattre de ces accusations. - D'accord ?	- Certainement.	1
Vous conduisiez, n'est-ce pas ? Quelle surprise !	C'était de la malchance, voilà tout.	1
