Question	Answer	Annotation (Label)
C'est dur de respirer, n'est-ce pas ?	- Je vais me laver les cheveux.	6
Y a des gens chez moi. C'est fou, non ? Des amis de Frankie sont passés à l'improviste.	- Frankie est encore là ?	5
- Frankie est encore là ?	- Oui !	1
- Oui !	- Frankie?	6
Tu veux parler, faire un album, te venger ?	Qui vous a parlé de Sol ?	6
Vous avez déjà un avocat ? Je connais tous les avocats de l'État.	Elle a engagé la plupart.	5
Vous étiez au courant, pour Sol ? J'étais la seule à l'ignorer ?	J'étais sous le choc, je te jure.	1
- Vous avez bloqué leurs cartes ?	- Je sais. C'est horrible.	1
Tu m'entends ? Chez moi ! Et tu sais quoi ? Je vais te raccrocher au nez !	Frankie ? Ça va ? Que s'est-il passé ?	5
Tu vois pourquoi elle ne t'appelle pas ?	Plus ou moins.	3
- Peux-tu me regarder ?	- Pardon, je lis.	2
Tu ne lis pas Menuisier Magazine.	J'ai des surprises aussi.	1
Tu es menuisier en secret ?	Je déteste qu'à peine une semaine après avoir détruit ma vie, tu passes déjà aux aspects juridiques, aux avocats et... aux cartes de crédit bloquées...	5
Coyote est sorti de désintox ?	Tu ne le savais pas ?	1
Il vit là-bas ?	Tu l'as pas vu depuis le coup à la Stanley Kowalski devant chez toi ?	1
Sérieux ? Tu vas faire ça maintenant ? Tu vas parler de toi, alors que c'est la première fois qu'ils sont ensemble, tous les quatre, depuis...Tu sais...	Gay-maggedon ?	5
Gay-maggedon ?	- Arma-gaydon ? C'est mieux ?	4
- Arma-gaydon ? C'est mieux ?	- C'est mieux, oui.	1
Ce n'était pas insinué quand j'ai dit d'aller chercher les enfants ?	Tu as dit que tu allais chez Frankie et que je devais...Oui, c'était sous-entendu.	1
Quelqu'un veut un verre ? Sauf l'alcoolique ?	Moi, je veux bien.	1
C'était réel, tout ça ?	Tu vas te faire de nouveaux souvenirs, Frankie.	4
J'avais ça pour mon baptême ?	Et moi avant toi.	1
Tu as parlé à Rafael ?	Lina a confirmé. Tu comprends, Abuela ?	5
Lina a confirmé. Tu comprends, Abuela ?	Jane, tu lui as parlé ?	1
Jane, tu lui as parlé ?	Pourquoi ? C'est lui qui a demandé à Michael.	2
- Ce n'est pas le bon moment ?	- Ne me dis pas de me taire, - c'est toi qui m'a amenée ici.	6
Désolée, mais c'est bizarre.	Je me servais de toi.	5
Ils vous en font en retour ?	Tanner m'en fait.	1
Attends, t'es là pour me voir ou pour voir Jane ?	Euh, les deux.	5
Tu as déjà pensé à l'auto-bronzant ?	Maintenant on avance vers la porte d'entrée. Et nous voyons...	6
Je te vois à la répétition de baptême tout à l'heure ?	Si son emploi du temps criminel le lui permet.	1
Est-ce que ça va ?	Où trouve-tu les mots pour dire que ta tarée d'ex-femme s'est inséminée elle-même avec ton sperme volé ?	2
Donc ta sœur vient au baptême, ou...? Elle n'a pas confirmé.	Non, je n'ai pas eu de nouvelle.	2
Ça ne te rappelle rien ?	Désolé, pour être honnête, je n'écoutais pas cet appel.	4
Tu te souviens quand on l'avait piégée en lui faisant croire que j'avais encore des sentiments pour elle ?	Et je pense qu'elle ferait n'importe quoi, même dénoncer sa propre mère, si elle pense avoir une chance avec toi.	1
Ça va ?	Oui, oui. 	1
- Je ne peux pas déjà le laisser.- Chérie, tu te souviens de ce que tu disais quand tu étais enceinte ?	On a besoin d'un signe. Une façon pour toi de me dire quand je suis en train de laisser ma maternité guider ma vie.	6
Tu penses que c'est la bonne chose à faire ? Tu sais, en tant que P.E. ?	Eh bien, évidemment, les fans et la presse auront les boules.	1
C'est une figure de style ?	Entrepôt de Luciana.	6
Qu'est ce que c'est ? Ton journal intime ?	- C'est pas un journal intime.	2
Vraiment ?	Je n'ai pas dis ça.	1
Parce que tu ne veux pas être avec moi ?	I didn't say that.	4
Quelle est l'alternative ? On l'accueille dans la famille ? On la supporte à Thanksgiving ?	Je me suis servi de ma seule poire à jus. Bon appétit !	6
Et après ? Elle ne dit pas à Mateo qu'il a un frère ou une soeur jusqu'au jour où il le découvrira ?	Je signe pour qui ?	6
Vous savez quoi ? Je m'inquiète déjà assez avec cette histoire de programme sup.	- Arrête, tu vas y retourner.	5
Et concernant la concordance avec le nom d'un visiteur du vignoble ?	C'est difficile, à cause de la dégradation de l'encre et des tâches de vin.	5
Alors, les mamans, voulez-vous partager quelque chose ? Tant que vous êtes là ? Tant que bébé est là ?	Oui, moi.	1
Je veux travailler. Ça fait de moi quelqu'un d'horrible ?	Mamans, arrêtez. Il n'y a pas de bon choix, parce qu'on est tous différents.	2
Je suppose que tu as lu le texte ? C'est lorsque Blanca retrouve Santos après une séparation agonisante. Est-ce vraiment toi ?	Oui.	5
On est prêts ?	Une dernière chose, Janie.	2
Michael et Lina, en tant que parrain et marraine, promettez-vous de soutenir ces parents dans l'éducation de cet enfant, de le faire baigner dans la sagesse et l'affection ?	- Nous le promettons.	1
C'est vrai ?	Je ne te l'ai pas dit, parce que, eh bien, cela semblait si important pour toi de le voir en premier.	1
Laquelle de nous deux est la pire ?	Il n'y a pas que ça.	5
Tu te souviens combien tu étais excitée quand tu nous l'as annoncé ?	On est accepté à l'université !	6
Xiomara, Peut-on parler de ce qu'il s'est passé, s'il te plaît ?	Qu'est-ce-que tu veux dire ?	5
Il a bonne mine, hein ? Il a comme un certain éclat.	Je ne sais pas, il a été si distant ces derniers temps.	4
Tu crois vraiment que j'aurais réagi à ce genre de plan ?	- Jane, écoute...	5
